text,label
人与人尊重是最基本的，古代很多书都有说到,0
魔怔人还是要早点拉黑,1
所以那张hiv吧的截图到底是不是真的，你从来都没有正面回应过,0
别自我意识过剩了。别人看你也一样hui气。,1
你怎么确定他们就一定会优先选择代孕这种违法手段呢？难道相比代孕这种违法手段？领养不是更好吗？,0
我不恐同，就是单纯的厌恶，觉得恶心，不为别的，就为txl群体传播x病，还要骗人形婚，毁人一生。运气差一点的，只是被骗婚。运气再差一点，被骗着生个孩子，把孩子也毁了。运气差到爆的，被人骗婚，还被传染上x病，这就是txl群体干的好事。,1
无所谓了，只要开心就好了管那么多干嘛,0
作为正常取向的同性恋。不管异性恋出没出柜，都跟本宫没有任何关系,1
所以你一直看一个中年啤酒肚人字拖大叔和肥胖宽腰垂胸大妈天天搂搂抱抱亲亲的同样恶心吧。所以是个人形象的问题而不是同性的问题啊。,0
冒死字词噜,0
我刚刚看了你的回答 冒昧问一句你老公是什么家庭出生的 我觉得我也忍不了爱情背叛 而且主要是其实你应该当初上个985研究生遇到更好的男人,0
提高同性恋和无子女的养老保险缴纳比例，等其退休后可以有钱养老,0
度度又在刷屏啊，找没找到我是小号的证据啊,0
一一提到视频通话就挂断,0
我会说我不是很喜欢吃榴莲，那些人会说你竟然不喜欢吃，你好过分榴莲多么多么好我多么多么坏他们多么多么正义,0
聊着小淋拿出了女支女名单，邀请阿泼晚上一起去南宁玩捕捉爱的小游戏。,1
同性恋大多是先天的，只是为了生存不得不一开始学会伪装。还有，同性恋也没法传染。异性恋身上也没有同性恋的基因。,0
我们应该联系男权吧，就算大男子主义再怎么样也应该不会支持男同，更别说女同了,1
反正基佬来山东河南河北 只敢学艺术文科,1
从图灵的例子和山羊实验来看，决定性向的基因很可能就不在性染色体上，而是跟其他的染色体性状绑在一起的。,0
我得提醒你一下gay一般即使看上直男也是想被上，不要操那么大的心😅,1
同性恋说跟异性结婚是最对的事,0
老哥，你是真的有这病吗，他们是骗人的吗,0
是的，我是一位专业打击👊同杏恋的职业人士，我每天的工作就是观察👀谁是同杏恋，并且加以记录📝和跟踪，如果出现同杏恋有关的消息我会第一时间冲到现场，对其进行打击👊，打击你们同杏恋就是我生活的全部，我热爱我的工作，如果你们身边有同杏恋请告诉我😡我会狠狠的惩罚他们，谢谢🙏,1
其实不然的，明显反对的还是更多,0
雀食 但这本质应该类似于一种“过敏”,0
你闹你有理，破坏公序良俗的代价，迟早会还回去的,0
据估计，非异性恋人群患焦虑症的的风险是异性恋人群1.5倍，而抑郁症的患病风险大约是其2倍，吸毒的危险是其1.5倍，自杀的风险是异性恋人群的近2.5倍。,0
哈哈啊哈哈哈，世界的笑柄,1
我相信爱情，我也拥有爱情，而且我们双方父母都可以接受,0
男同也会喜欢熊类，男人的身体魅力好不好只有正常的女人才知道,1
跟你一样的想法，感觉这个答主故作清高，自以为是。总以为自己的眼界就是世界，十分狭隘。还来一句骂人无所谓。,0
你没有反对 同性恋 的权利，正如你没有反对 地球是圆的 的权利。,0
来卖凉面那~,0
新的反通讯录十二字方阵挫其锐，解其纷；和其光，同其尘。挫其锐：1、通过言语公鸡来挫伤通讯录的锐气，使其不敢安心出柜。2、使用科学的理论来攻击通讯录的谬论，挫伤通讯录的信心。解其纷：瓦解通讯录纷乱的理论，坚持以下真理。1、通讯录欲望产生的特征是天生的，而欲望产生的对象则是后生的。2、人的欲望并非一开始就那么强烈，而是通过x幻想和自卫不断强化的。和其光：让通讯录自己意识到通讯录的坏处，从而弱化其当通讯录的信心。同其尘：让通讯录意识到自己并没有多特殊，其实自己和他人一样。并帮助他们变回正常人。,1
帅惨惹！无情爆扫下面那个不明生物惹,1
骂人拉黑一气呵成，吃了益达都没你快😓,0
首先我们应该先搞清楚通讯录骗婚的目的。有很多通讯录宣传说同性恋骗婚都是被父母逼的。这根本是错误的。因为现在的经济制度下，社会结婚率每况愈下，都快成为社会问题了。这说明外部的结婚压力已经没有大到必须要骗婚的程度了。这说明通讯录骗婚不是被父母逼的，而是其本身有生殖的欲望，又怎么能说同通讯录骗婚是被父母逼的呢？只要代运没有合法化，通讯录为了其本身的生殖欲望而进行的骗婚就不会停止。而代运作为一种对女性的物化是具有很大的弊端的，怎么可能随便通过？且通讯录是否是正常的，其成因到底是什么都没有一个结果。又怎能随意给其养育孩子的权利？而且即使通讯录是正常的，就拿他们庞大的基数来说哪来那么多人给他们代孕？比起骗婚问题代孕问题更加重要。想通过代孕来解决骗婚不过是从一个小问题变成了一个大问题。与其通过妥协来解决骗婚问题倒不如解决通讯录本身，通过限制通讯录宣传，加强对通讯录的监督，自然能够解决骗婚问题。而不是本末倒置的去允许其获得更大的社会权益，进而增加更多的社会矛盾。,1
恐同怔：恐惧TXL不单单是异X恋者的问题。同X恋者中的恐同者也很多。给药：他们大多受环境影响，因为周围的人都不接受txl，导致他们自己也无法接受自己是txl者，从而非常害怕承认自己的txl身份，伪装成异x恋骗婚以隐藏自己的x取向，有的甚至攻击同类实质完成自虐，现实有诸多例子。如果自己都不能接受自己，甚至因此恐惧与自己相同的人，那么这样的人一生将活在痛苦矛盾挣扎之中。这类恐同者需要增强自己的自信和勇气，不要人云亦云，不要跟风，要有自己的主见。,1
异性恋是掰不弯的，就像同性恋是掰不直的，我们要倡导同性恋和异性恋是平等的，而不是倡导同性恋更好贵，实际上好像也极少数倡导同性恋更好贵,0
最后两张肥猪,1
放肆，本宫乃本吧之主，一切奴婢都该听命于本宫，本宫允许你招人了吗。,1
每一次用手抓沙蚕（青虫），被沙蚕的液体粘手上，第二天马上脱皮，洗手也不行。弄得都不太喜欢用沙蚕钓了。我问过群里的人，有的脱皮有的不脱。发现吧里的人分不清楚青虫与红虫，顺便说一下广东广西沿海地区说的青虫与红虫，（钓淡水所说的红虫是另外一种虫子，与海钓的沙蚕无关。）。两种是不同品种的沙蚕，青虫有两种颜色，青色和红色，但品种都一样，青虫做钓饵，泡几分钟就变软变烂。红虫则是红色的，肉比较结实，做钓饵时耐泡不烂。上图，图一青虫，图二红虫,0
任何事，不要以偏盖全。确实要承认同这个圈子里烂人很多，但不要因此歧视这个圈子里的所有人ok。遇到烂人该骂就骂，遇到正常人希望不要有太多恶意。,1
他倒是聪明，聊天基本只发语音，这样他发的记录大家都看不到他说了什么，私我发转文字后截的图嘻嘻,0
欧美学术界，媒体早就被白左渗透丑了。而且这还是媒体发表的研究报告什么成分不必多说了吧,1
哈哈哈，作为人的最基本权利？给我整笑了,0
非常棒，做好了估计能像安提赫蒙一样出精品,0
很多基佬也弯变直跟异性结婚了，每个基佬跟异性结婚变回正常就没有同性恋出现，世界更美好。基佬反正都需要异性，应该专心治好病传宗接代孝顺父母,1
楼主三观挺正👍️,0
哈哈哈整个吧里就你和楼主在互怼,0
支持同秉承善良与爱无罪,0
变态同性恋，用词精准,1
是同又怎么样？？天天歧视同性恋你还很有脸吗？？以多欺少算什么本事？？😆要不把我们杀了吧？？你有这本事吗？,1
你南异形最需要，遍地人丑心黑还不知丑,1
你所热爱的就是你的生活,0
你们同性恋同婚有什么用。你们就是爱快乐地互相伤害互相传播疾病的怪物。同性伴侣都是短命，因艾滋死了又换另一个伴侣，只会不断离离结结进行没有意义的婚姻,1
同性恋现在才是占据了，舆论的高地，,0
这是被道德绑架绑久了吧😆,0
你们一直拿相貌说事肯定是不对的，现在很多人都看不下去了，人最重要的还是心灵，品德,0
外国是政治正确啊,1
没有同性恋基因的人是不可能被掰弯的，就像同性恋没办法变成异性恋一样,1
让我们回到最初，看看性偏好是如何产生的。生物的最基本的目的在于存在，也就是进化论所说的适者生存，而这离不开繁殖行为。有性生殖物种通过性行为达成繁殖的目的，但是性行为是有能耗的，而生育行为更是成本高昂，从个体的角度来看无疑是不划算的，这也是为何现在生育率低下的原因之一。但是生育又是整个物种存续必不可少的手段之一。那么自然界是如何解决这一矛盾呢？就是通过本能，物种中的每个个体生来都带有不随意志转移的本能。通过性欲这种本能欲望为性交提供奖励，从而提高性行为发生的频率。但这只是第一步，就像前文所说，性行为是有成本的，不能够随意与任何对象发生，必须要有指向。而性欲的指向理所当然是能够与所在个体达成生殖目的的对象种类（性指向），或者说是这种对象种类的外在特征（性偏好）。从这一点可以得出，性偏好是有“正常”、“应然”的方向的，而这肯定不是同性恋、恋物癖、恋兽癖，甚至说是异性恋也不太准确。因为异性恋也包含了乱伦、恋老癖等异常性癖，但至少异性恋是充分条件。总而言之，性欲是进化而来的心理适应器，不应该指向同性。这也是正常性欲与同性恋等性癖存在本质不同的原因。,0
是这群人没有良好的审美，我们反同人士都喜欢秃头油腻大叔，这才叫帅，有男人味。,1
对方有说过，你自己爬文,0
举报就完事了给大家推荐两个国家的举报网站。以后别再说想举报不知道去哪儿了。1.中央网信办(国家互联网信息办公室)违法和不良信息举报中心2.网络违法犯罪举报网站,0
但这种无意识的行为并不代表就是基因决定的啊？,0
他不会平和的和你说话，只会辱骂诬陷，往你身上泼脏水，当你试图和他讲道理的时候，他只会反打你一耙，说你没素质没教养,0
你们基佬要人觉得你们基佬是有素质教养，你们基佬就应该阻止某个基佬让基佬们丢脸的事情否则就是同流合污,1
深柜里的1很多,1
清汤火锅！！加沙茶酱！好吃死了！！就是鲜牛肉。有空一起吃！！我最爱吃了！！１７８　１２２的人，吃到１５０了！！５５５５５,0
你的逻辑思维不太够，第一句在理，第二句就傻了，图灵的行为确实违反了法律，但是处罚图灵的法律根本没有正义可言，所以第二条站不住，第三句更蠢图灵的死，跟迫害有直接关系，逼死了人工智能之父这种过错还能认为他不是被逼的？,0
哈哈你看看自己说的是什么破玩意，先学学语文吧😆,1
其实你说的不现实，因为你看看隔壁的撑同贴吧，不张扬，不lanjiao，不反异，安静平和的同性恋根本不会上贴吧来撑同。换句话说，既然我们本身就是反那些贴吧里的那些撑同，同性恋，那么就和那些极少的同性恋没啥关系了。,1
为什么他始终无法正视自己的取向？如果他真不是gay拿怎么到现在都没发拿出证据？是不想拿吗？还是没有证据为什么空口无凭否认自己是gay？,1
问题是就算在研究所工资也不行啊，制造业平均工资也就比农林鱼牧餐饮旅游这些强上一丢丢，金融的一半不到，互联网的2/3没有行业报告里都写着的。,0
被我们关爱得气急败坏，最后只有把头蒙上,0
广西最少，win,0
基佬只是不搞女人的渣男，除非他不渣；但基佬不渣还能是基佬吗？尤其是骗婚的。,1
在反同群不反同，你自己也说过你是双性恋了，所以要为民除害找你很合理。,1
这有什么好骂的呢？不过骂完删评，然后拉黑罢了。🤭,0
介个QAQ 我不想移民 第一是我爱中国 我相信中国会改变的！第二是 - - 我没钱啊亲爱的,0
强求别人接受自己的观点、和自己不一样的观点肯定不存在，这个和同性恋其实没什么关系。这叫狭隘。,0
萝莉与正太同时穿上女装。你们就会惊呼多么纯洁可爱的两个女孩子啊！偶然小正太更漂亮可爱一些。人群浑然不知的更靠向小正太但当人们得知最漂亮的小女孩是男的之后他们就瞬间对他不感兴趣并在背后议论着没想到他竟然是个男的！我靠，伪娘真恶心小正太并不知道为什么人们对他的恶意那么大或许这就是男性的命运。男性不能去追求美的东西。不能变得可爱必须把尾巴藏在阴暗处。并且分类为伪娘跨性别的标签。小正太觉得自己并不是伪娘或跨性别者因为他只不过是在追求美可是医生会告诉他你就是性别障碍有女装癖。家长们会告诉他男人要有个男人样。同学们会排挤他于是他开始厌恶自己。厌恶自己的性别，厌恶自己的生殖器官。他把生殖器官视为上天给他枷锁他改变不了什么因为总有一些人知道他是男的之后就对他打上了肮脏下流性男的都一样的标签仿佛男性犯了滔天大罪或许吧。小正太剪去了他的长发脱下的只有古代男性才会穿的长裙他想不明白就算他明白了，他也无法让世人明白,1
当然，为啥你觉得哥不直啊😊,0
这个基佬人面兽心还叫帅天理何在！,1
你要坚持自己的想法，因为我也觉得同性恋很恶心，永远都不可能改变，太恶心了,1
所以说到底他不还是个大猪0吗失足我都想象出来那个画面了他艮个脖儿在那🔒,1
我感觉你了解，我感觉写那些的人也不理解，真正可以研究同性恋是什么的原因应该是当事人去研究更好，一个正常取向的人是无法去研究同性者的存在，就好比你相信人有灵魂的说法一样啊。同性者就好比一个身体和灵魂不匹配。他们也是不幸的，比如男同性我猜也不是见一个喜欢一个，应该就和正常人去喜欢一个人一样有感觉的吧。,0
我感觉我会在乎对方的能力 品性 学识 刚好的外貌,0
毕竟同性是真“艾”,1
满口空话从来不拿出证据。除了意淫就是意淫,0
只要不给斜玉玄枢的马甲权利，本吧怎么都能建设好,0
你什么意思,0
综上所述，以后想起来会补充，同性恋就纯纯懦夫,1
谁都能有自己的想法。我也更不会说什么txl才是真爱异性只为了繁殖。,1
我相信时间会改变一切，并且可能朝着两个方向发展要么，国民受教育程度变高，新生一代对多元文化更加包容要么，国民道德水平普遍降低，对滥交等行为的忍受度上升（譬如，未来医学在艾滋病领域取得突破性进展）值得一提的是，两者并不会完全分离，反而是会同时存在的可能性更大。,0
当然有了，但是大多数都有自知之明的。别人还没喜欢你的，你就自作主张的以为别人喜欢你，我该怎么称呼这样的行为呢？,0
小丑能出来说一说你的成分吗,1
emmm 百度说的就一定对吗🤔,0
谁又不想长寿呢,0
我国2018年的书看看同性恋是不是要治疗。,0
说不好啊。。。。,0
于是泼峰和战淋唠起了嗑。,1
人家说的是生理上而不是理性。,0
笑死了后面还有在发阴阳贴的说什么不敢出来见人我挺好奇的那这种寻衅滋事的跟警察见面好吧不都喜欢拉人吗？笑死,1
这个“大部分”和“少部分”还真不好下结论，因为人数占比的问题，txl爱上yxl的例子真是太多了。而陷入爱里的人，能够做到不打扰还真不是件容易的事。而一些被过度打扰的直人就很容易产生反同情绪。,1
一切起因都是因为我当时偶然发现它用它之前的号在艾滋病吧的帖子，就在当天它就作假我的图片,0
反同乃大势所趋,1
赚流量而已,0
同性恋跟异性恋是不一样的，或许是因为我们中国的思想已经根深蒂固，以至于我们有了您这样的看法,0
长得和个老鼠似的,1
你觉得大便好吃，虽然你也不强迫人们吃大便，但是到处宣传大便好吃，宣传喜欢吃大便是天生的改不了要尊重，有人说的不便不好你就口诛笔伐，绝对不能说大便很臭,1
都魔障了，而且又当又立，硬说别人是小号还死鸭子嘴硬，结果半点证据都拿不出来，这都有人附和他，ip啊，ip都不会看吗，就这还想洗白自己，连承认错误都不敢，还能干什么,1
因为一个人讨厌一个群体本身就不正常吧，你会因为讨厌一个男同而讨厌所有男人吗,0
怎么回事反同恋吧被同性恋占领了。真的不知道说什么好。神淋看了都要哭。等着被吸吧,1
你这个**还想当吧主,1
直男最擅长的不就是双标吗😆所以现在很多时候我已经懒得讲道理，看见nt直接骂就好了😆,1
男人变态有什么错,1
再说了，个人是个人，群体是群体，我还被直癌晚期在那磕呢,0
也没这个必要无差别攻击吧。。。,0
没有什么说错不说错，只有意见不统一。这件事无关对错，只有立场和意见一不一样，三观不同，互相尊重，设身处地，三思再评，求同存异，谋求共一。,0
千万别，我是千真万确工地搬砖小工，你这么搞我都不敢登录知乎学习了。,0
热知识：同性恋和异性恋只是用来区分性取向的,0
哦？腐癌说的不是txl？😆,1
既然都是身为局内人那就不予评价。看看别的贴吧的人如何评价他,0
那种到处想掰弯别人的多半不是真的同性恋，而是那种受腐文化影响“跟风”的人，要是真的喜欢一个人……多半是不会这样的，部分同性恋看见异性关于亲密的动作也可能不适，所以我不觉得“感到不适”本身有什么问题【没到PTSD程度】非要特殊化就是杀人诛心,0
爱情没有任何性别的界限,0
霸凌和不完整的家庭氛围，造成的,0
这不叫沦陷，这叫成为战斗前线，是好事，不然发的东西只有想法相近的人看得到有什么用？,0
7，能担起家庭责任，向棋子坦白，寻找第仨人；,0
另外染艾的人有资格讲别人吗,1
老僵尸还是入土吧,1
笑死，你不支持尊重可以做到吗？,0
冒死支持一下,0
有失足风味的火锅么,0
生理不适为什么就全面反对？因为激素原因男女，男同，女同都对彼此可能会不适，但反对没必要啊，不能因为男女异性恋多就反对男同和女同,1
我们吃月饼赏月有一部分人(可千万别对号入座哦)吃糖赏月,0
有些直男只是单纯恶心 男同do爱吧,1
你发正常的帖子是钓不到同性异蛆的,1
看看左图的放大版，为啥他要对它的基友说它是在“复愁”，很明显，是我把它HIV荣誉证书的事告知大家,1
脑浆被换成了冰红茶,1
并不是吹捧，你再想成为同性恋也成不了啊，这是基因决定的，而且绝后的担心太多余了，这世界上90%都是异性恋，腐女们只是希望让同志们多被世人看到，得到平等对待的权利，毕竟少数容易挨打吗？你可以去看一些有质量的关于同志的资料，以防有一天你发现身边的人是同志，你感觉痛苦万分，其实大可不必。,1
事实就是艾滋烂大街,1
会被歧视的，如果你在一个集体里明目张胆表明你非常反感同性恋，你说不定会被骂,1
我不知道这种对同性平权的追求对于价值观尚未成形的孩子是否有影响，是否会学习模仿这种行为。如果有，那么我是绝对不会支持的，因为它对庞大的异性恋群体产生了影响。同性恋本来就是一种复杂的现象，并且会带来潜移默化的社会问题。政府不反对不提倡已经是我认为比较理想的状态了。作为正常人我想不对这一群体进行攻击就够了吧。你不能说强制改变我的价值观，并站在道德制高点要我去接受并赞成这一群体，并给我扣上古董刻板重生育的帽子。有人一边提倡同性恋，一边对父母辈以及保守的人进行攻击并扣帽子。我还是想说一句社会是由不同群体组成的，在法律框架下，当你提倡某一群体并对另一群体进行指责，你自己也是个矛盾者。,0
他们有立体防御机制，这样的也会被说成txl捏,1
你这老僵尸要被举报了，男男违法献血,1
这就是你的五大之一的理论和行为吗？这是不是烂货，你评价一下呢？嗯,1
说同性恋是被自然选择后淘汰掉的，你在这儿胡扯什么呢，我都怀疑你高中没毕业。那我问你，既然你说是自然选择后淘汰，那为什么现在还有，不是不适合物种进化吗？还有人类原来对男女都有欲望，你有考证吗，或是哪个人类研究学家考证过？还有你说的本身就是个悖论，既然异性能传宗接代，有利于人的繁衍，那么按照你的说法，请问原来的那一拨人为什么还有一定数量的同性恋呢，这些人怎么来的，不是基因决定的，那是什么原因？你说的自然选择从什么时候开始选择，奥有一半同性恋才开始选择是吗？其他诸多谬论不一一列举，不了解的事别在这瞎说八道，你要是个小孩子在这里做情绪的奴隶，那当我没说。,1
你们还是中国人吗？别想跟日本站在一起，要抗日就要反同，我国人不接受日本任何立场,1
有毛病啊？反同就反同，别搞人身攻击好吗？,1
小的时候家旁边树林，有一次碰到一个猎人，他拿着枪打下了一只鸟，然后送给了我，记忆特别深刻,0
这个贴吧据我所知它已经p了3个人的图了。我倒要看看他还要再p哪些人的图,0
下面教大家如何薄纱它们，只需复制以下两段话即可。,1
问你，如果同性恋非要公开宣言，同性才是真爱，异性只为繁殖。他们能接受一句话不说，一点反应没有么？反社会人格？那现在谁是？那你就觉得同性恋占比小就觉得是弱势群体，所以才去帮他们说的对么。,1
我也是很支持同性恋的,0
鉴于直佬由于环境影响变成了取向异常的群体，现私信本宫进行取向治疗还能打八折。,1
谢谢夸奖！！（其实我既可爱又帅气哒）,0
没见到有那样吃榴莲的人倒是讨厌榴莲的人们会造谣说「但是吃榴莲的会说：你走干嘛？你是不是歧视我？」,0
真是既敏感又玻璃心,1
帮你解黑了,0
当然。连动物都知道公母，雌雄之别,0
我相信答主代表了大部分人的想法，就是反感还不让说了？天天要求别人认同你的病态本身就是一种病态，你先去问问你父母接不接受再来回答,0
支持惹。反对同性恋要毫不动摇的做到4个坚持：坚持一网打尽，坚持斩草除根，坚持一扫而光，坚持赶尽杀绝。务必做到：反同、恨同、赶同、抓同、灭同五位一体的全民反同新局面。,1
我就是生理排斥 但有些人奥 尤其是女生 自己不是同性恋天天TM在那磕别的男的 明明我和我好兄弟是兄弟情 他非得在那脑补那种东西 你说恶心不恶心 你反驳她 他就说你歧视同性恋 我是真不懂了,1
不管反谁也不过是社会给你们施加的意识形态，你们唯一的概念只有是无产阶级的男性或女性罢了,0
我TM咋又见到你了,1
所以恐同就是犯罪这个文章就没有偏见?,1
笑到肚子痛了！真想问谁教养他做基佬，真丢人,1
还是那句话，和同性恋本身没有任何关系。大部分强奸犯都是男的，不代表就应该把每一个男的都当强奸犯看。更没有任何方式能看一眼就知道谁是强奸犯谁不是。这种数据一点用都没有。,0
有同妻婚骗啥的，而且男同对女性有仇视倾向，男风盛行会导致女性地位下降,1
"OK, 我明白你的立场，在国内哪怕八成GAY隐婚的情况下，我们仍将其视作个人行为，而不去对这个群体抱有偏见，是这样吧。我赞赏坚持不骗婚个体的品行，但鄙视骗婚个体的作恶行为，并且表示有对被骗婚的恐惧，不过分吧。",1
支持。反同迫在眉睫,1
